"id","lat","lon","date","country","species","database","myID"
4721907445,-27.110743,-52.767525,"2023-05-13","Brazil","Amazona vinacea","Gbif",246
4844577150,-27.116165,-52.768436,"2023-05-13","Brazil","Amazona vinacea","Gbif",247
4833129491,-29.427965,-50.85491,"2023-05-13","Brazil","Amazona vinacea","Gbif",248
4817976107,-29.365347,-50.866467,"2023-05-13","Brazil","Amazona vinacea","Gbif",249
4708753104,-22.696798,-45.4849,"2023-05-13","Brazil","Amazona vinacea","Gbif",250
4669502974,-28.015335,-50.49468,"2023-05-13","Brazil","Amazona vinacea","Gbif",251
4673550894,-29.32316,-50.815784,"2023-05-13","Brazil","Amazona vinacea","Gbif",252
4806495535,-29.15847,-50.079353,"2023-05-13","Brazil","Amazona vinacea","Gbif",253
4843358194,-24.757904,-54.45637,"2023-05-13","Paraguay","Amazona vinacea","Gbif",254
4640344107,-26.752565,-50.99104,"2023-05-13","Brazil","Amazona vinacea","Gbif",255
4672130475,-26.181196,-51.21379,"2023-05-09","Brazil","Amazona vinacea","Gbif",256
4741599807,-24.75679,-54.452816,"2023-05-13","Paraguay","Amazona vinacea","Gbif",257
4659924999,-28.039925,-49.45227,"2023-05-15","Brazil","Amazona vinacea","Gbif",258
4815318692,-22.716742,-45.581028,"2023-05-19","Brazil","Amazona vinacea","Gbif",259
4705416680,-26.730976,-52.70012,"2023-05-20","Brazil","Amazona vinacea","Gbif",260
4782755889,-26.63634,-51.494537,"2023-05-18","Brazil","Amazona vinacea","Gbif",261
4837787438,-27.790737,-50.346844,"2023-05-20","Brazil","Amazona vinacea","Gbif",262
4845143162,-26.664103,-52.257484,"2023-05-17","Brazil","Amazona vinacea","Gbif",263
4811992025,-26.73247,-50.81974,"2023-05-21","Brazil","Amazona vinacea","Gbif",264
4637555831,-26.75517,-50.84672,"2023-05-21","Brazil","Amazona vinacea","Gbif",265
4825775281,-26.76052,-50.871082,"2023-05-21","Brazil","Amazona vinacea","Gbif",266
