"species","lon","lat","database"
"Amazona vinacea",-42.6067,-20.314949,"gbif"
"Amazona vinacea",-51.9901,-26.799492,"gbif"
"Amazona vinacea",-42.549423,-19.667635,"gbif"
"Amazona vinacea",-45.503933,-22.691042,"gbif"
"Amazona vinacea",-45.489468,-22.69444,"gbif"
"Amazona vinacea",-49.521976,-26.242615,"gbif"
"Amazona vinacea",-50.87588,-29.39474,"gbif"
"Amazona vinacea",-50.87108,-29.378424,"gbif"
"Amazona vinacea",-51.373913,-24.945017,"gbif"
"Amazona vinacea",-50.612015,-29.441814,"gbif"
"Amazona vinacea",-50.87188,-29.366495,"gbif"
"Amazona vinacea",-50.869884,-29.365557,"gbif"
"Amazona vinacea",-49.9305,-27.952076,"gbif"
"Amazona vinacea",-46.025017,-22.86508,"gbif"
"Amazona vinacea",-44.55287,-22.498352,"gbif"
"Amazona vinacea",-49.63754,-28.097475,"gbif"
"Amazona vinacea",-50.978186,-29.350666,"gbif"
"Amazona vinacea",-50.953295,-29.270108,"gbif"
"Amazona vinacea",-52.522928,-26.446783,"gbif"
"Amazona vinacea",-50.981673,-29.315197,"gbif"
"Amazona vinacea",-50.871624,-29.36669,"gbif"
"Amazona vinacea",-50.87922,-29.36711,"gbif"
"Amazona vinacea",-50.873432,-29.36735,"gbif"
"Amazona vinacea",-50.869465,-29.343904,"gbif"
"Amazona vinacea",-50.87917,-29.36738,"gbif"
"Amazona vinacea",-50.817104,-29.353477,"gbif"
"Amazona vinacea",-50.87874,-29.367447,"gbif"
"Amazona vinacea",-50.86584,-29.343966,"gbif"
"Amazona vinacea",-50.87908,-29.370747,"gbif"
"Amazona vinacea",-50.871307,-29.365038,"gbif"
"Amazona vinacea",-50.872913,-29.374887,"gbif"
"Amazona vinacea",-50.88172,-29.369963,"gbif"
"Amazona vinacea",-50.881977,-29.36926,"gbif"
"Amazona vinacea",-50.870422,-29.375164,"gbif"
"Amazona vinacea",-50.882988,-29.371004,"gbif"
"Amazona vinacea",-50.88327,-29.340654,"gbif"
"Amazona vinacea",-50.881165,-29.368523,"gbif"
"Amazona vinacea",-50.886627,-29.370834,"gbif"
"Amazona vinacea",-50.878994,-29.371428,"gbif"
"Amazona vinacea",-50.88235,-29.368847,"gbif"
"Amazona vinacea",-50.882584,-29.369,"gbif"
"Amazona vinacea",-50.879997,-29.370502,"gbif"
"Amazona vinacea",-50.88128,-29.369244,"gbif"
"Amazona vinacea",-50.88225,-29.369766,"gbif"
"Amazona vinacea",-50.880554,-29.368996,"gbif"
"Amazona vinacea",-50.881264,-29.368477,"gbif"
"Amazona vinacea",-50.881638,-29.368902,"gbif"
"Amazona vinacea",-50.88201,-29.369564,"gbif"
"Amazona vinacea",-50.8817,-29.369102,"gbif"
"Amazona vinacea",-50.881714,-29.369728,"gbif"
"Amazona vinacea",-50.88197,-29.36813,"gbif"
"Amazona vinacea",-50.881737,-29.367598,"gbif"
"Amazona vinacea",-50.882473,-29.369785,"gbif"
"Amazona vinacea",-50.882233,-29.369719,"gbif"
"Amazona vinacea",-50.881596,-29.370813,"gbif"
"Amazona vinacea",-50.89377,-29.310146,"gbif"
"Amazona vinacea",-50.881683,-29.369175,"gbif"
"Amazona vinacea",-50.88224,-29.369703,"gbif"
"Amazona vinacea",-50.885223,-29.368801,"gbif"
"Amazona vinacea",-50.88098,-29.370922,"gbif"
"Amazona vinacea",-50.880413,-29.369106,"gbif"
"Amazona vinacea",-50.87209,-29.374825,"gbif"
"Amazona vinacea",-50.454502,-29.409752,"gbif"
"Amazona vinacea",-50.882122,-29.36859,"gbif"
"Amazona vinacea",-45.469467,-22.710058,"gbif"
"Amazona vinacea",-49.93358,-27.958448,"gbif"
"Amazona vinacea",-42.84702,-20.190737,"gbif"
"Amazona vinacea",-50.882294,-29.36968,"gbif"
"Amazona vinacea",-49.865112,-27.954224,"gbif"
"Amazona vinacea",-49.891945,-27.957949,"gbif"
"Amazona vinacea",-49.900646,-27.958439,"gbif"
"Amazona vinacea",-45.490536,-22.693567,"gbif"
"Amazona vinacea",-45.59086,-22.727917,"gbif"
"Amazona vinacea",-45.502296,-22.694063,"gbif"
"Amazona vinacea",-48.717976,-24.855883,"gbif"
"Amazona vinacea",-50.581867,-29.461676,"gbif"
"Amazona vinacea",-50.6014,-29.459517,"gbif"
"Amazona vinacea",-50.617367,-29.45078,"gbif"
"Amazona vinacea",-45.57048,-22.732693,"gbif"
"Amazona vinacea",-45.570175,-22.726137,"gbif"
"Amazona vinacea",-50.358173,-29.410048,"gbif"
"Amazona vinacea",-51.43465,-27.11244,"gbif"
"Amazona vinacea",-52.159702,-26.092985,"gbif"
"Amazona vinacea",-43.319576,-20.705395,"gbif"
"Amazona vinacea",-42.602,-19.776,"gbif"
"Amazona vinacea",-42.602375,-19.776823,"gbif"
"Amazona vinacea",-51.602917,-27.142761,"gbif"
"Amazona vinacea",-52.565773,-26.461643,"gbif"
"Amazona vinacea",-52.56679,-26.465134,"gbif"
"Amazona vinacea",-52.568275,-26.469782,"gbif"
"Amazona vinacea",-52.5666,-26.466936,"gbif"
"Amazona vinacea",-52.566727,-26.468689,"gbif"
"Amazona vinacea",-52.56628,-26.458033,"gbif"
"Amazona vinacea",-52.566547,-26.46333,"gbif"
"Amazona vinacea",-51.426826,-27.3198,"gbif"
"Amazona vinacea",-50.35894,-29.410189,"gbif"
"Amazona vinacea",-49.440372,-26.767002,"gbif"
"Amazona vinacea",-49.433487,-26.766155,"gbif"
"Amazona vinacea",-51.62661,-26.085909,"gbif"
"Amazona vinacea",-50.881817,-29.36942,"gbif"
"Amazona vinacea",-50.492542,-28.33251,"gbif"
"Amazona vinacea",-50.661263,-28.298233,"gbif"
"Amazona vinacea",-48.82348,-25.121569,"gbif"
"Amazona vinacea",-49.363194,-26.646807,"gbif"
"Amazona vinacea",-48.822727,-25.06352,"gbif"
"Amazona vinacea",-49.859947,-27.938437,"gbif"
"Amazona vinacea",-48.770958,-25.113697,"gbif"
"Amazona vinacea",-51.20973,-26.142725,"gbif"
"Amazona vinacea",-50.8812,-27.515385,"gbif"
"Amazona vinacea",-49.55377,-27.275772,"gbif"
"Amazona vinacea",-52.573437,-26.212177,"gbif"
"Amazona vinacea",-50.773216,-27.424938,"gbif"
"Amazona vinacea",-52.48793,-26.263632,"gbif"
"Amazona vinacea",-50.778793,-27.433989,"gbif"
"Amazona vinacea",-50.774452,-27.440718,"gbif"
"Amazona vinacea",-50.808746,-27.484901,"gbif"
"Amazona vinacea",-50.830708,-29.37049,"gbif"
"Amazona vinacea",-52.566395,-26.456253,"gbif"
"Amazona vinacea",-52.565865,-26.459795,"gbif"
"Amazona vinacea",-50.44455,-29.40528,"gbif"
"Amazona vinacea",-51.9915,-26.485731,"gbif"
"Amazona vinacea",-44.507496,-22.261608,"gbif"
"Amazona vinacea",-49.640007,-26.244537,"gbif"
"Amazona vinacea",-52.448195,-26.553318,"gbif"
"Amazona vinacea",-50.852562,-29.322674,"gbif"
"Amazona vinacea",-49.33451,-26.75325,"gbif"
"Amazona vinacea",-50.74441,-29.31711,"gbif"
"Amazona vinacea",-48.2388,-24.8444,"gbif"
"Amazona vinacea",-50.824707,-29.359211,"gbif"
"Amazona vinacea",-48.92871,-27.378702,"gbif"
"Amazona vinacea",-50.555885,-29.442417,"gbif"
"Amazona vinacea",-45.5023,-22.694223,"gbif"
"Amazona vinacea",-49.570854,-27.859076,"gbif"
"Amazona vinacea",-52.527218,-26.476364,"gbif"
"Amazona vinacea",-51.42141,-27.316444,"gbif"
"Amazona vinacea",-51.42267,-27.31725,"gbif"
"Amazona vinacea",-49.09721,-27.884148,"gbif"
"Amazona vinacea",-43.089504,-18.665428,"gbif"
"Amazona vinacea",-49.56803,-27.835796,"gbif"
"Amazona vinacea",-50.31016,-24.524603,"gbif"
"Amazona vinacea",-52.00267,-26.796808,"gbif"
"Amazona vinacea",-50.990303,-26.818598,"gbif"
"Amazona vinacea",-42.322777,-20.224337,"gbif"
"Amazona vinacea",-51.60323,-27.1399,"gbif"
"Amazona vinacea",-49.45708,-26.756577,"gbif"
"Amazona vinacea",-41.81119,-19.728054,"gbif"
"Amazona vinacea",-45.49471,-22.690672,"gbif"
"Amazona vinacea",-45.46138,-22.668522,"gbif"
"Amazona vinacea",-45.518738,-22.694221,"gbif"
"Amazona vinacea",-50.986996,-26.788473,"gbif"
"Amazona vinacea",-50.986774,-26.788792,"gbif"
"Amazona vinacea",-50.76139,-29.386063,"gbif"
"Amazona vinacea",-45.5555,-22.707788,"gbif"
"Amazona vinacea",-49.05373,-27.650957,"gbif"
"Amazona vinacea",-48.83706,-24.941936,"gbif"
"Amazona vinacea",-46.026215,-22.859888,"gbif"
"Amazona vinacea",-42.67094,-19.767807,"gbif"
"Amazona vinacea",-51.10947,-26.166105,"gbif"
